CODIGO	NOME_FUNDO	TIPO_PRODUTO	CEDENTE	SACADO	LIMITE_CEDENTE	ESTADO_CEDENTE	ESTADO_SACADO	VENCIMENTO	DATA_EMISSAO	DATA_PAGAMENTO	VALOR_REAL	VALOR_DESAGIO	TAXA_MENSAL	RISCO_1	RISCO_2	RISCO_3	RISCO_4	RISCO_5	RISCO_6	RISCO_7	RISCO_8	RISCO_9	RISCO_10	RISCO_11	RISCO_12	RISCO_13	RISCO_14	RISCO_15	RISCO_16	RISCO_17	RISCO_18	RISCO_19	RISCO_20	RISCO_21	STATUS_LIQ_TITULO
9280	Fundo 1	Produto 1	Cedente 17	Sacado 6218	2500000	SP	SP	2018-09-15	2018-07-23	2018-09-17	198.18	11.48959947	0.031804882	0.386979	0	0		0		0	0.18597831	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.999537	ATRASO
9281	Fundo 1	Produto 1	Cedente 17	Sacado 1457	2500000	SP	SP	2018-09-15	2018-09-02	2018-09-15	138.39	5.938628539	0.101818985	0.389915	0	0		0		0	0.597761585	0		0		0.547411	0	0.133333	0.4	0.069946	0.062937	0.382716	0.96995	0.998776	EM_DIA
9282	Fundo 1	Produto 1	Cedente 17	Sacado 6219	2500000	SP	SP	2018-09-22	2018-07-25	2018-09-22	381.54	35.27550742	0.045989566	0.386979	0	0		0		0	0.417260472	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.98022	EM_DIA
9283	Fundo 2	Produto 1	Cedente 2	Sacado 144	10000000	CE	BA	2018-07-26	2018-05-01	2018-07-26	715.32	77.7614778	0.036654388	0.05058	1	0		0		0	0.32779324	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.909597	EM_DIA
9284	Fundo 2	Produto 1	Cedente 2	Sacado 542	10000000	CE	SC	2018-07-26	2018-05-01	2018-07-26	380.58	40.35686336	0.035783416	0.05058	1	0		0		0	0.234478488	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.564729	EM_DIA
9285	Fundo 1	Produto 1	Cedente 17	Sacado 2081	2500000	SP	SP	2018-09-29	2018-09-16	2018-09-30	569.29	26.03437582	0.108704062	0.389915	0	0		0		0	0.629196609	0		0		0.547411	0	0.133333	0.4	0.069946	0.062937	0.382716	0.96995	0.993083	ATRASO
9286	Fundo 1	Produto 1	Cedente 2	Sacado 1594	10000000	CE	PR	2018-07-26	2018-06-15	2018-07-13	377	18.19606198	0.035092041	0.057573	1	0.075596	0.051414	0		0	0.36778522	0.000317	0.006623	0		0.330868	0	0	0	0.063887	0.063627	0.382716	0.876312	0.999947	EM_DIA
9287	Fundo 1	Produto 1	Cedente 17	Sacado 6220	2500000	SP	SP	2018-09-28	2018-09-02	2018-09-30	108.29	7.773455472	0.083275724	0.389915	0	0		0		0	0.269792048	0		0		0.547411	0	0.133333	0.4	0.069946	0.062937	0.382716	0.96995	0.628512	ATRASO
9288	Fundo 1	Produto 1	Cedente 17	Sacado 2377	2500000	SP	SP	2018-09-26	2018-09-01	2018-09-28	127.24	11.58580604	0.110237397	0.389915	0	0		0		0	0.427930623	0		0		0.547411	0	0.133333	0.4	0.069946	0.062937	0.382716	0.96995	0.931405	ATRASO
9289	Fundo 1	Produto 1	Cedente 17	Sacado 870	2500000	SP	SP	2018-09-27	2018-09-04	2018-09-28	175.75	4.62347961	0.034450197	0.389915	0	0		0		0	0.36164866	0		0		0.547411	0	0.133333	0.4	0.069946	0.062937	0.382716	0.96995	0.990815	ATRASO
9290	Fundo 1	Produto 1	Cedente 17	Sacado 2010	2500000	SP	SP	2018-09-28	2018-09-02	2018-09-30	263.49	7.079975574	0.031067446	0.389915	0	0		0		0	0.897354526	0		0		0.547411	0	0.133333	0.4	0.069946	0.062937	0.382716	0.96995	0.846581	ATRASO
9291	Fundo 1	Produto 1	Cedente 17	Sacado 2041	2500000	SP	SP	2018-09-27	2018-07-23	2018-09-29	158.14	13.2708351	0.037307497	0.386979	0	0		0		0	0.902084379	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.725972	ATRASO
9292	Fundo 1	Produto 1	Cedente 17	Sacado 6221	2500000	SP	SP	2018-11-05	2018-09-04	2018-09-06	206.64	22.04886972	0.050280122	0.389915	0	0		0		0	0.960708828	0		0		0.547411	0	0.133333	0.4	0.069946	0.062937	0.382716	0.96995	0.000313	EM_DIA
9293	Fundo 1	Produto 1	Cedente 2	Sacado 21	10000000	CE	GO	2018-07-26	2018-04-24	2018-07-28	960.59	134.3263677	0.043125147	0.05058	1	0		0		0	0.492401676	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.992889	ATRASO
9294	Fundo 1	Produto 1	Cedente 17	Sacado 6222	2500000	SP	SP	2018-11-28	2018-08-30	2018-12-01	477.9	60.11262317	0.040283743	0.25647	0	0		0		0.002779	0.572345275	0		0		0.555481	0	0.333333	0.8	0.008406	0.007406	0.382716	0.967908	0.996983	ATRASO
9295	Fundo 1	Produto 1	Cedente 19	Sacado 6223	4464286	RS	SC	2018-08-05	2018-07-09	2018-08-03	4094.75	304.6229581	0.082993845	0.069263	0.333333	0		0.09138	0.010309	0.000125	0.51961438	0.00337	0.027594	0		0.517149	0	0.333333	0.6	0.073831	0.069138	0.345679	0.857196	0.741653	EM_DIA
9296	Fundo 2	Produto 1	Cedente 2	Sacado 546	10000000	CE	BA	2018-08-08	2018-04-29	2018-08-08	356.3	35.01222038	0.028232586	0.05058	1	0		0		0	0.813606792	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.000111	EM_DIA
9297	Fundo 2	Produto 1	Cedente 2	Sacado 278	10000000	CE	PR	2018-08-10	2018-04-30	2018-08-09	786.87	86.92920473	0.031299718	0.05058	1	0		0		0	0.778083471	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.114688	EM_DIA
9298	Fundo 1	Produto 1	Cedente 19	Sacado 6224	4464286	RS	ES	2018-05-05	2018-04-30	2018-05-02	12636.72	289.4991054	0.145573353	0.067112	0.333333	0		0		0.000125	0.274728779	0.002673	0.013245	0		0.436449	0	0.2	0.4	0.015666	0.014452	0.382716	0.861136	0.954933	EM_DIA
9299	Fundo 1	Produto 1	Cedente 19	Sacado 6225	4464286	RS	RO	2018-05-08	2018-04-08	2018-05-04	8213.87	137.7323022	0.016768259	0.066302	0.333333	0		0		0	0.028203122	0.002159	0.000552	0		0.436449	0	0.2	0.6	0.00768	0.007089	0.382716	0.945512	0.999716	EM_DIA
9300	Fundo 1	Produto 1	Cedente 19	Sacado 1519	4464286	RS	RS	2018-07-24	2018-06-21	2018-07-23	2583.42	158.5082411	0.055625958	0.069225	0.333333	0		0		0.000125	0.395246082	0.00256	0.000552	0			0	0	0	0.007383	0.006914	0.345679	0.932001	0.914439	EM_DIA
9301	Fundo 1	Produto 1	Cedente 19	Sacado 6226	4464286	RS	SP	2018-02-26	2017-11-27	2018-02-26	2293.77	171.2835367	0.024025874	0.061144	0.333333	0		0		0	0.063142173	0.00139	0.000552	0		0.520511	0	0.2	0.6	0.03039	0.027253	0.382716	0.973235	0.980592	EM_DIA
9302	Fundo 1	Produto 1	Cedente 19	Sacado 1511	4464286	RS	RS	2018-05-31	2018-04-23	2018-05-31	305.2	19.65859302	0.050515579	0.066765	0.333333	0		0		0.000125	0.937201146	0.002994	0.013245	0		0.436449	0	0.333333	0.6	0.015129	0.013966	0.382716	0.861136	0.795415	EM_DIA
9303	Fundo 1	Produto 1	Cedente 19	Sacado 6227	4464286	RS	RS	2018-04-19	2018-03-29	2018-04-19	711.88	45.33800809	0.092209418	0.06553	0.333333	0		0		0	0.629106436	0.002898	0.007174	0		0.397445	0	0.066667	0.2	0.011217	0.010707	0.382716	0.914364	0.248039	EM_DIA
9304	Fundo 1	Produto 1	Cedente 19	Sacado 6227	4464286	RS	RS	2018-04-19	2018-03-28	2018-04-19	2285.01	146.9446364	0.088704562	0.06553	0.333333	0		0		0	0.954816343	0.002898	0.007174	0		0.397445	0	0.066667	0.2	0.011217	0.010707	0.382716	0.914364	0.922906	EM_DIA
9305	Fundo 1	Produto 1	Cedente 19	Sacado 954	4464286	RS	SC	2018-07-18	2018-06-20	2018-07-18	7483.91	176.404287	0.025275899	0.069225	0.333333	0		0		0.000125	0.620897586	0.00256	0.000552	0			0	0	0	0.007383	0.006914	0.345679	0.932001	0.155493	EM_DIA
9306	Fundo 1	Produto 1	Cedente 19	Sacado 5668	4464286	RS	SP	2018-07-29	2018-05-08	2018-07-29	3718.08	179.0409189	0.017355217	0.067381	0.333333	0		0		0.000125	0.041460363	0.002508	0.021523	0		0.470074	0	0.066667	0.2	0.016206	0.014988	0.382716	0.859067	0.481137	EM_DIA
9307	Fundo 1	Produto 1	Cedente 19	Sacado 6228	4464286	RS	SP	2018-07-31	2018-04-14	2018-07-29	901.34	45.10597413	0.013656674	0.066534	0.333333	0		0.002091	0.110457	0.000125	0.217218111	0.002975	0.009934	0		0.436449	0	0.4	0.6	0.010821	0.010856	0.382716	0.869899	0.099956	EM_DIA
9308	Fundo 1	Produto 1	Cedente 19	Sacado 979	4464286	RS	SC	2018-07-09	2018-04-29	2018-07-09	1492.07	69.60366729	0.019451707	0.067112	0.333333	0		0		0.000125	0.881343051	0.002673	0.013245	0		0.436449	0	0.2	0.4	0.015666	0.014452	0.382716	0.861136	0.098881	EM_DIA
